Id_planet,Name,Distance,Stellar_magnitude,Planet_type,Discovery_year,Mass_multiplier,Mass_wrt,Radius_multiplier,Radius_wrt,Orbital_radius,Orbital_period,Eccentricity,Detection_method,Status_Exploration,ID_Vessel
226,GJ 3082 b,54.000000,11.041000,Neptune-like,2020,46.061001,Earth,249.000000,Jupiter,79.000000,32.580002,0.220000,Radial Velocity,0,0
227,GJ 3090 b,73.000000,11.403000,Neptune-like,2022,3.340000,Earth,2.130000,Earth,3.165000,7.939000,0.320000,Transit,0,0
228,GJ 3138 b,93.000000,10.827500,Super Earth,2017,1.780000,Earth,1.180000,Earth,197.000000,3.285000,0.190000,Radial Velocity,0,0
229,GJ 3138 c,93.000000,10.827500,Super Earth,2017,4.180000,Earth,1.880000,Earth,57.000000,16.427000,0.110000,Radial Velocity,0,0
230,GJ 3138 d,93.000000,10.827500,Neptune-like,2017,46.152000,Earth,288.000000,Jupiter,698.000000,7.058000,0.320000,Radial Velocity,0,0
231,GJ 317 b,50.000000,12.400000,Gas Giant,2007,46.144001,Jupiter,1.180000,Jupiter,1.151000,1.900000,0.070000,Radial Velocity,0,0
232,GJ 317 c,50.000000,12.400000,Gas Giant,2018,164.395996,Jupiter,1.200000,Jupiter,5.230000,18.500000,0.170000,Radial Velocity,0,0
233,GJ 3222 b,59.000000,6.900000,Neptune-like,2022,1.173000,Earth,308.000000,Jupiter,91.179001,29.295000,0.930000,Radial Velocity,0,0
234,GJ 328 b,67.000000,9.990000,Gas Giant,2013,46.083000,Jupiter,1.190000,Jupiter,4.500000,11.200000,0.370000,Radial Velocity,0,0
235,GJ 3293 b,66.000000,11.945000,Neptune-like,2015,23.540001,Earth,463.000000,Jupiter,14.339000,8.377000,0.060000,Radial Velocity,0,0
236,GJ 3293 c,66.000000,11.945000,Neptune-like,2015,46.285999,Earth,434.000000,Jupiter,36.174999,33.566002,0.110000,Radial Velocity,0,0
237,GJ 3293 d,66.000000,11.945000,Neptune-like,2017,46.180000,Earth,238.000000,Jupiter,19.393999,13.169000,0.120000,Radial Velocity,0,0
238,GJ 3293 e,66.000000,11.945000,Super Earth,2017,3.280000,Earth,1.630000,Earth,8.208000,36.412998,0.210000,Radial Velocity,0,0
239,GJ 3323 b,18.000000,12.570000,Super Earth,2017,46.055000,Earth,1.230000,Earth,3.282000,14.784000,0.230000,Radial Velocity,0,0
240,GJ 3323 c,18.000000,12.570000,Super Earth,2017,2.310000,Earth,1.320000,Earth,1.264000,11.088000,0.170000,Radial Velocity,0,0
241,GJ 3341 b,77.000000,12.062000,Neptune-like,2015,46.179001,Earth,219.000000,Jupiter,89.000000,3.887000,0.310000,Radial Velocity,0,0
242,GJ 338 B b,21.000000,7.700000,Neptune-like,2020,46.182999,Earth,0.290000,Jupiter,142.000000,6.680000,0.110000,Radial Velocity,0,0
243,GJ 3470 b,96.000000,12.332000,Neptune-like,2012,46.278000,Earth,408.000000,Jupiter,355.000000,9.034000,0.020000,Radial Velocity,0,0
244,GJ 3473 b,89.000000,13.740000,Super Earth,2020,1.860000,Earth,1.264000,Earth,1.589000,3.285000,0.000000,Transit,0,0
245,GJ 3473 c,89.000000,13.740000,Neptune-like,2020,7.410000,Earth,235.000000,Jupiter,876.000000,42.436001,0.000000,Radial Velocity,0,0
246,GJ 3512 b,31.000000,15.180000,Gas Giant,2019,0.460000,Jupiter,1.270000,Jupiter,337.000000,5.577000,0.440000,Radial Velocity,0,0
247,GJ 3512 c,31.000000,15.180000,Gas Giant,2020,0.200000,Jupiter,832.000000,Jupiter,1.292000,4.400000,0.020000,Radial Velocity,0,0
248,GJ 357 b,31.000000,10.910000,Super Earth,2019,1.840000,Earth,1.217000,Earth,35.000000,10.677000,0.000000,Transit,0,0
249,GJ 357 c,31.000000,10.910000,Super Earth,2019,46.115002,Earth,1.660000,Earth,61.000000,24.914000,0.000000,Radial Velocity,0,0
250,GJ 357 d,31.000000,10.910000,Neptune-like,2019,46.028000,Earth,209.000000,Jupiter,204.000000,15.249000,0.000000,Radial Velocity,0,0
251,GJ 3634 b,66.000000,11.938000,Neptune-like,2010,46.119999,Earth,253.000000,Jupiter,287.000000,7.118000,0.080000,Radial Velocity,0,0
252,GJ 367 b,31.000000,10.153000,Terrestrial,2021,546.000000,Earth,718.000000,Earth,71.000000,82.135002,0.000000,Transit,0,0
253,GJ 3779 b,45.000000,13.040000,Neptune-like,2018,8.000000,Earth,245.000000,Jupiter,26.000000,8.213000,0.070000,Radial Velocity,0,0
254,GJ 3929 b,52.000000,12.675000,Super Earth,2022,1.750000,Earth,1.090000,Earth,252.000000,7.118000,0.000000,Transit,0,0
255,GJ 3929 c,52.000000,12.675000,Neptune-like,2022,5.710000,Earth,201.000000,Jupiter,81.000000,4.106000,0.000000,Radial Velocity,0,0
256,GJ 393 b,23.000000,9.650000,Super Earth,2021,1.710000,Earth,1.170000,Earth,5.402000,19.164000,0.000000,Radial Velocity,0,0
257,GJ 3942 b,55.000000,10.166000,Neptune-like,2017,7.140000,Earth,229.000000,Jupiter,608.000000,1.889000,0.120000,Radial Velocity,0,0
258,GJ 3998 b,59.000000,10.844000,Super Earth,2016,2.470000,Earth,1.380000,Earth,29.000000,7.118000,0.000000,Radial Velocity,0,0
259,GJ 3998 c,59.000000,10.844000,Neptune-like,2016,6.260000,Earth,212.000000,Jupiter,89.000000,37.507999,0.050000,Radial Velocity,0,0
260,GJ 411 b,19.000000,7.490000,Super Earth,2019,2.690000,Earth,1.450000,Earth,7.879000,35.318001,0.060000,Radial Velocity,0,0
261,GJ 414 A b,39.000000,8.310000,Neptune-like,2021,46.180000,Earth,235.000000,Jupiter,2.324000,13.908000,0.450000,Radial Velocity,0,0
262,GJ 414 A c,39.000000,8.310000,Gas Giant,2021,16.937000,Jupiter,749.000000,Jupiter,1.400000,2.100000,0.110000,Radial Velocity,0,0
263,GJ 422 b,41.000000,11.660000,Neptune-like,2014,46.214001,Earth,297.000000,Jupiter,111.000000,550.307983,0.110000,Radial Velocity,0,0
264,GJ 4276 b,70.000000,12.903000,Neptune-like,2019,16.570000,Earth,377.000000,Jupiter,82.000000,366.872009,0.370000,Radial Velocity,0,0
265,GJ 433 b,30.000000,9.810000,Neptune-like,2011,6.043000,Earth,208.000000,Jupiter,62.000000,20.260000,0.040000,Radial Velocity,0,0
266,GJ 433 c,30.000000,9.810000,Neptune-like,2014,32.422001,Earth,0.560000,Jupiter,4.819000,14.000000,0.120000,Radial Velocity,0,0
267,GJ 433 d,30.000000,9.810000,Neptune-like,2020,5.223000,Earth,2.140000,Earth,178.000000,9.883000,0.070000,Radial Velocity,0,0
268,GJ 436 b,32.000000,10.670000,Neptune-like,2004,46.043999,Earth,372.000000,Jupiter,291.000000,7.118000,0.140000,Radial Velocity,0,0
269,GJ 480 b,46.000000,11.490000,Neptune-like,2020,46.066002,Earth,0.330000,Jupiter,68.000000,26.283001,0.100000,Radial Velocity,0,0
270,GJ 486 b,26.000000,11.390000,Super Earth,2021,2.820000,Earth,1.305000,Earth,1.734000,41.067001,0.050000,Radial Velocity,0,0
271,GJ 504 b,57.000000,518.799011,Gas Giant,2013,4.000000,Jupiter,1.160000,Jupiter,43.500000,259.899994,0.000000,Direct Imaging,0,0
272,GJ 514 b,25.000000,9.050000,Neptune-like,2022,46.057999,Earth,2.130000,Earth,422.000000,38.438999,0.450000,Radial Velocity,0,0
273,GJ 536 b,34.000000,9.710000,Neptune-like,2016,5.360000,Earth,2.170000,Earth,6.661000,23.819000,0.080000,Radial Velocity,0,0
274,GJ 581 b,21.000000,10.570000,Neptune-like,2005,46.249001,Earth,366.000000,Jupiter,4.061000,14.784000,0.000000,Radial Velocity,0,0
275,GJ 581 c,21.000000,10.570000,Neptune-like,2007,46.146999,Earth,2.210000,Earth,721.000000,35.318001,0.000000,Radial Velocity,0,0
276,GJ 581 e,21.000000,10.570000,Super Earth,2009,46.203999,Earth,1.170000,Earth,2.815000,8.487000,0.000000,Radial Velocity,0,0
277,GJ 625 b,21.000000,10.066000,Super Earth,2017,2.820000,Earth,1.490000,Earth,78.361000,39.972000,0.130000,Radial Velocity,0,0
278,GJ 649 b,34.000000,9.700000,Gas Giant,2009,328.000000,Jupiter,1.110000,Jupiter,1.135000,1.600000,0.300000,Radial Velocity,0,0
279,GJ 667 C b,24.000000,10.602000,Neptune-like,2011,46.178001,Earth,2.230000,Earth,505.000000,19.712000,0.130000,Radial Velocity,0,0
280,GJ 667 C c,24.000000,10.602000,Super Earth,2011,46.237000,Earth,1.770000,Earth,125.000000,7.693000,0.020000,Radial Velocity,0,0
281,GJ 667 C e,24.000000,10.602000,Super Earth,2013,46.205002,Earth,1.450000,Earth,213.000000,17.028999,0.020000,Radial Velocity,0,0
282,GJ 667 C f,24.000000,10.602000,Super Earth,2013,46.205002,Earth,1.450000,Earth,156.000000,10.677000,0.030000,Radial Velocity,0,0
283,GJ 667 C g,24.000000,10.602000,Super Earth,2013,46.176998,Earth,1.990000,Earth,549.000000,7.014000,0.080000,Radial Velocity,0,0
284,GJ 674 b,15.000000,9.380000,Neptune-like,2007,46.276001,Earth,297.000000,Jupiter,39.000000,12.867000,0.200000,Radial Velocity,0,0
